tiers_key,ca,TOTMVTC,TOTMVTD,TOTMVTCnet,TOTMVTDnet,ENG,MontImp,encours,Encours_Moyen_Debiteur,Encours_Moyen_crediteur,INCIDENTCHQ,INCIDENTCHQ_R,INCIDENTCHQ_N_R,Interdit,InterditAct,NBIMP,Interet_Non_ECHU,Encaiss_Recu,NBECHEANCE,Code_Classe,Var Signalitiques.Code_Profession,Var Signalitiques.Profession,Var Signalitiques.Code_Activite_Economique,Var Signalitiques.Activite_Economique,Var Signalitiques.Code_secteur_activite,Var Signalitiques.Secteur_Activite,Var Signalitiques.Ville,Var Signalitiques.Code_Postal,Var Signalitiques.Date_Ouverture
174,,0.0,-274.956,0.0,-261.171,,,,1420.500876,,,,,,,,,,,1.0,,,HAB99,TRANSPORTS FERROVIAIRES DE FRET,HA,TRANSPORTS ET ENTREPOSAGE,BAB BHAR,1000.0,1958-04-05
370,,0.0,-483.776,0.0,-450.691,,,,2311.483331,,,,,,,,,,,1.0,,,GCG99,AUTRES COMMERCES DE DETAIL DE BIENS NEUFS EN MAGASIN SPECIALISE,,,TUNIS,1002.0,1992-04-14
481,,,,,,,,,,0.0,,,,,,,,,,,,,DAA04,COMMERCE D'ELECTRICITE,DA,"PRODUCTION ET DISTRIBUTION D'ELECTRICITE, DE GAZ, DE VAPEUR ET D'AIR CONDITIONNE",TUNIS BELVEDERE,1002.0,2000-01-01
578,,0.0,-362.465,0.0,-341.152,,,,1500.732704,,,,,,,,,,,,,,CWA01,FABRICATION DE MEUBLES DE BUREAU ET DE MAGASIN,CW,INDUSTRIE MANUFACTURIERE,TUNIS BELVEDERE,1002.0,1992-05-07
633,3171.408,3224.323,-7610.75,3224.323,-7610.75,,,,,1940.856057,,,,,,,,,,,,,GBG05,COMMERCE DE GROS DE QUINCAILLERIE ET FOURNITURES POUR PLOMBERIE ET CHAUFFAGE,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,REPUBLIQUE,1001.0,1992-02-20
707,,0.0,-385.773,0.0,-362.199,,,,1656.488616,,,,,,,,,,,,,,MCA01,ACTIVITES D'ARCHITECTURE,,,REPUBLIQUE,1001.0,1958-04-05
881,,,,,,"12559,434",12559.434,0,,0.0,,,,,,1.0,,,1.0,,,,IAA99,HOTELS ET HEBERGEMENT SIMILAIRE,IA,HEBERGEMENT ET RESTAURATION,TUNIS BELVEDERE,1002.0,1958-04-05
990,,0.0,-119.66,0.0,-116.393,,,,349.416767,,,,,,,,,,,,,,MBB99,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,MB,"ACTIVITES SPECIALISEES, SCIENTIFIQUES ET TECHNIQUES",REPUBLIQUE,1001.0,1992-02-25
1036,,,,,,"56678,252",0.0,"56678,252",,0.0,,,,,,1.0,,,4.0,4.0,,,CPE02,FONDERIE D'ACIER,,,TUNIS,2033.0,1958-04-05
1135,,0.0,-1808.783,0.0,-1568.696,,,,13400.44055,,,,,,,,,,,2.0,,,CTA02,FABRICATION D'EQUIPEMENTS HYDRAULIQUES ET PNEUMATIQUES,CT,INDUSTRIE MANUFACTURIERE,MEGRINE,2033.0,1958-04-05
