tiers_key,ca,TOTMVTC,TOTMVTD,TOTMVTCnet,TOTMVTDnet,ENG,MontImp,encours,Encours_Moyen_Debiteur,Encours_Moyen_crediteur,NBECHEANCE,Code_Classe,Code_Profession,Profession,Code_Activite_Economique,Activite_Economique,Code_secteur_activite,Secteur_Activite,Ville,ancienneté,Cluster
1697105,65000.0,65427.36,-68341.9,65427.36,-66560.81,0,0.0,0.0,3021.203158,21.200526,134.0579981290926,2.0,P1001,COMMERCANT DANS L'ALIMENTATION GENERALE,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,LA MANNOUBA,19,1
857957,10091092.058,10091098.01,-10067774.84,10091092.06,-10062110.49,"97648,594",0.0,0.0,35285.767731,13540.900756,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,GBC99,"COMMERCE DE GROS NON SPECIALISE DE DENREES ALIMENTAIRES, DE BOISSONS ET DE TABAC",GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SFAX,41,0
793933,139474.073,0.0,-328.48,0.0,-310.47,0,0.0,0.0,1273.571123,364.190342,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,JFB99,AUTRES SERVICES D'INFORMATION N.C.A.,JF,INFORMATION ET COMMUNICATION,CITE EL MAHRAJENE,13,0
970382,7699848.782,8802635.16,-10738721.53,8802635.16,-10730045.52,"1705118,389",9006.341,0.0,411564.900358,69499.388901,272.0,0.0,P1001,COMMERCANT DANS L'ALIMENTATION GENERALE,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SIDI BOUZID,6,1
341123,99596.256,103203.29,-103363.96,103203.29,-101778.54,"33452,188",0.0,0.0,3945.978578,236.907178,190.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,HAC02,TRANSPORTS DE VOYAGEURS PAR TAXIS ET PAR LOUAGE,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,LE KEF,12,0
1251622,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,1832.3621925,0.0,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CIA02,FABRICATION DE PAPIER ET DE CARTON,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,AKOUDA,27,0
249386,343871.1,343871.1,-343195.39,343871.1,-341274.67,"73600,283",0.0,0.0,10546.27143,1956.353926,186.0,0.0,P0999,AUTRES ENTREPRENEURS INDIVIDUELS ARTISANS,COD02,FABRICATION ARTISANALE D'ARTICLES CERAMIQUES À USAGE DOMESTIQUE OU ORNEMENTAL,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,DAR CHAABANE ELFEHRI,12,1
1353998,7019357.963,7030060.52,-6094359.27,7030060.52,-6092296.28,0,0.0,0.0,3903.306778,63556.07675,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,GBA02,"INTERMEDIAIRES DU COMMERCE EN COMBUSTIBLES, METAUX, MINERAUX ET PRODUITS CHIMIQUES",GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,ARIANA,12,0
1160003,139474.073,0.0,-142.8,0.0,-142.8,"6849,396",0.0,0.0,1832.3621925,7826.970334,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,GBH99,COMMERCE DE GROS NON SPECIALISE,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,BAB EL ASSEL,20,0
1055841,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,1139.965227,10.393446,134.0579981290926,5.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,GCA01,COMMERCE D'ALIMENTATION GENERALE,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,METLAOUI,18,0
873352,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,1832.3621925,0.0,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,HAD01,TRANSPORTS ROUTIERS DE FRET,HA,TRANSPORTS ET ENTREPOSAGE,SFAX,15,0
1617503,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,2533.298389,364.190342,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,MIDOUN,22,1
1642027,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,3708.705249,0.0,134.0579981290926,0.0,P0401,DIRIGEANTS / GERANTS D'ENTREPRISES,GAC02,COMMERCE DE DETAIL D'EQUIPEMENTS AUTOMOBILES,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SOUSSE,3,1
1586648,4006.211,4361.74,-4432.69,4361.74,-4154.63,0,0.0,0.0,1.597534,489.400098,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,MBB99,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,MB,"ACTIVITES SPECIALISEES, SCIENTIFIQUES ET TECHNIQUES",TUNIS BELVEDERE,22,0
282843,301650.0,420976.3,-426861.66,310976.3,-424430.0,"103204,069",0.0,0.0,23748.487895,177.654213,274.0,0.0,P0301,CADRES SUPERIEURS DE L'ADMINISTRATION PUBLIQUE,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,BEJA,5,1
251968,2913283.4,2913295.3,-2835372.87,2913283.4,-2829878.78,"45452,411",0.0,0.0,94451.322602,1463.311808,19.0,0.0,P1001,COMMERCANT DANS L'ALIMENTATION GENERALE,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,DAR CHAABANE ELFEHRI,22,1
847659,2252073.073,2427475.65,-2365385.33,2255956.61,-2344736.89,"493098,266",0.0,0.0,124097.594175,1054.622767,24.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,BDC99,AUTRES ACTIVITES EXTRACTIVES N.C.A.,BD,INDUSTRIES EXTRACTIVES,CITE ENNASR 1,3,0
231245,2829347.248,2842789.62,-2930698.69,2842789.62,-2926310.32,280000,0.0,280000.0,73651.634654,687.131252,14.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,GCE02,"COMMERCE DE DETAIL DE QUINCAILLERIE, PEINTURES ET VERRES EN MAGASIN SPECIALISE",GC,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,REPUBLIQUE,40,0
98264,277281.522,492529.5,-501312.68,452529.5,-495317.4,"113267,917",0.0,0.0,40616.281591,10330.057101,2.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CJA02,AUTRE IMPRIMERIE (LABEUR),CJ,INDUSTRIE MANUFACTURIERE,SOUSSE,8,0
154047,728845.749,728958.21,-751243.14,728958.21,-750564.53,0,0.0,0.0,1650.544295,23126.309202,20.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CWA99,FABRICATION D'AUTRES MEUBLES,CW,INDUSTRIE MANUFACTURIERE,SFAX,44,0
1665673,1368552.761,1379974.4,-1361658.72,1379974.4,-1354687.27,"276376,662",0.0,0.0,8.642273,35528.941698,106.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,GAC02,COMMERCE DE DETAIL D'EQUIPEMENTS AUTOMOBILES,GA,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,NABEUL,10,0
164791,1896.718,1896.72,-359.8,1896.72,-332.93,0,0.0,0.0,935.058249,364.190342,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,GAC01,COMMERCE DE GROS D'EQUIPEMENTS AUTOMOBILES,GA,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,MERKEZ KASSAS,18,0
1097265,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,1832.3621925,0.0,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,HAD01,TRANSPORTS ROUTIERS DE FRET,HA,TRANSPORTS ET ENTREPOSAGE,TUNIS BELVEDERE,18,0
1461882,139474.073,1248.4,-0.0,1248.4,-0.0,0,0.0,0.0,1244.983715,0.0,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,GBA08,INTERMEDIAIRES SPECIALISES DANS LE COMMERCE D'AUTRES PRODUITS SPECIFIQUES,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SOUSSE,3,0
1528564,112126.256,112126.26,-118060.55,112126.26,-117924.42,"24494,391",0.0,0.0,1832.3621925,12940.817832,63.0,0.0,P1003,"DROGUERIES, QUINCAILLERIES, PIECES DE RECHANGES ET ASSIMILES",FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,KSIBET EL MEDIOUNI,5,1
