tiers_key,ca,TOTMVTC,TOTMVTD,TOTMVTCnet,TOTMVTDnet,ENG,MontImp,encours,Encours_Moyen_Debiteur,Encours_Moyen_crediteur,NBECHEANCE,Code_Classe,Code_Profession,Profession,Code_Activite_Economique,Activite_Economique,Code_secteur_activite,Secteur_Activite,Ville,ancienneté,Cluster
174,139474.073,0.0,-274.96,0.0,-261.17,0,0.0,0.0,1420.500876,364.190342,134.0579981290926,1.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,HAB99,TRANSPORTS FERROVIAIRES DE FRET,HA,TRANSPORTS ET ENTREPOSAGE,BAB BHAR,66,0
370,139474.073,0.0,-483.78,0.0,-450.69,0,0.0,0.0,2311.483331,364.190342,134.0579981290926,1.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,GCG99,AUTRES COMMERCES DE DETAIL DE BIENS NEUFS EN MAGASIN SPECIALISE,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,TUNIS,32,0
481,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,1832.3621925,0.0,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,DAA04,COMMERCE D'ELECTRICITE,DA,"PRODUCTION ET DISTRIBUTION D'ELECTRICITE, DE GAZ, DE VAPEUR ET D'AIR CONDITIONNE",TUNIS BELVEDERE,24,0
578,139474.073,0.0,-362.46,0.0,-341.15,0,0.0,0.0,1500.732704,364.190342,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CWA01,FABRICATION DE MEUBLES DE BUREAU ET DE MAGASIN,CW,INDUSTRIE MANUFACTURIERE,TUNIS BELVEDERE,32,0
633,3171.408,3224.32,-7610.75,3224.32,-7610.75,0,0.0,0.0,1832.3621925,1940.856057,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,GBG05,COMMERCE DE GROS DE QUINCAILLERIE ET FOURNITURES POUR PLOMBERIE ET CHAUFFAGE,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,REPUBLIQUE,32,0
707,139474.073,0.0,-385.77,0.0,-362.2,0,0.0,0.0,1656.488616,364.190342,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,MCA01,ACTIVITES D'ARCHITECTURE,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,REPUBLIQUE,66,0
881,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,"12559,434",12559.434,0.0,1832.3621925,0.0,1.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,IAA99,HOTELS ET HEBERGEMENT SIMILAIRE,IA,HEBERGEMENT ET RESTAURATION,TUNIS BELVEDERE,66,0
990,139474.073,0.0,-119.66,0.0,-116.39,0,0.0,0.0,349.416767,364.190342,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,MBB99,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,MB,"ACTIVITES SPECIALISEES, SCIENTIFIQUES ET TECHNIQUES",REPUBLIQUE,32,0
1036,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,"56678,252",0.0,0.0,1832.3621925,0.0,4.0,4.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CPE02,FONDERIE D'ACIER,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,TUNIS,66,0
1135,139474.073,0.0,-1808.78,0.0,-1568.7,0,0.0,0.0,13400.44055,364.190342,134.0579981290926,2.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CTA02,FABRICATION D'EQUIPEMENTS HYDRAULIQUES ET PNEUMATIQUES,CT,INDUSTRIE MANUFACTURIERE,MEGRINE,66,0
1186,862137.969,633964.1,-846189.55,633964.1,-844494.66,0,0.0,0.0,1832.3621925,225959.176079,134.0579981290926,0.0,P0999,AUTRES ENTREPRENEURS INDIVIDUELS ARTISANS,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,JAAFAR 1,12,1
1399,139474.073,0.0,-140.73,0.0,-136.03,0,0.0,0.0,494.707745,364.190342,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,ACA01,PECHE EN MER,AC,"AGRICULTURE, SYLVICULTURE ET PECHE",CEDEX FRANCE,66,0
1443,139474.073,0.0,-78.08,0.0,-77.63,0,0.0,0.0,62.669871,364.190342,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CAF01,MEUNERIE,CA,INDUSTRIE MANUFACTURIERE,REPUBLIQUE,66,0
1608,2190319.876,2191149.36,-2110599.26,2191149.36,-2102967.3,0,0.0,0.0,56435.603531,10088.561284,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,HAD02,SERVICES DE DEMENAGEMENT,HA,TRANSPORTS ET ENTREPOSAGE,TUNIS BELVEDERE,7,0
1615,139474.073,0.0,-250.79,0.0,-240.32,1657,0.0,1657.0,754.329904,364.190342,134.0579981290926,1.0,P1499,AUTRES CADRES SALARIES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,MONFLEURY,53,1
1714,139474.073,0.0,-240.26,0.0,-228.82,0,0.0,0.0,1181.178523,364.190342,134.0579981290926,1.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,COF01,FABRICATION D'ELEMENTS EN BETON POUR LA CONSTRUCTION,CO,INDUSTRIE MANUFACTURIERE,HABIB THAMEUR,66,0
